,date,event,group,value
666,2012-10-01,chemical,YPG,0
667,2012-10-01,air_strike,YPG,0
668,2012-10-01,barrel_bomb,YPG,0
669,2012-10-01,massacre,YPG,2
670,2012-10-01,shelling,YPG,1
671,2012-10-01,battle,YPG,2
672,2012-10-01,chemical,HZB,0
673,2012-10-01,air_strike,HZB,0
674,2012-10-01,barrel_bomb,HZB,0
675,2012-10-01,massacre,HZB,0
676,2012-10-01,shelling,HZB,0
677,2012-10-01,battle,HZB,0
678,2012-10-01,chemical,ASS,0
679,2012-10-01,air_strike,ASS,11
680,2012-10-01,barrel_bomb,ASS,2
681,2012-10-01,massacre,ASS,71
682,2012-10-01,shelling,ASS,53
683,2012-10-01,battle,ASS,35
684,2012-11-01,chemical,IS,0
685,2012-11-01,air_strike,IS,0
686,2012-11-01,barrel_bomb,IS,0
687,2012-11-01,massacre,IS,0
688,2012-11-01,shelling,IS,0
689,2012-11-01,battle,IS,0
690,2012-11-01,chemical,IC,0
691,2012-11-01,air_strike,IC,0
692,2012-11-01,barrel_bomb,IC,0
693,2012-11-01,massacre,IC,0
694,2012-11-01,shelling,IC,0
695,2012-11-01,battle,IC,0
696,2012-11-01,chemical,RS,0
697,2012-11-01,air_strike,RS,1
698,2012-11-01,barrel_bomb,RS,0
699,2012-11-01,massacre,RS,0
700,2012-11-01,shelling,RS,0
701,2012-11-01,battle,RS,1
702,2012-11-01,chemical,YPG,0
703,2012-11-01,air_strike,YPG,0
704,2012-11-01,barrel_bomb,YPG,0
705,2012-11-01,massacre,YPG,0
706,2012-11-01,shelling,YPG,1
707,2012-11-01,battle,YPG,1
708,2012-11-01,chemical,HZB,0
709,2012-11-01,air_strike,HZB,0
710,2012-11-01,barrel_bomb,HZB,0
711,2012-11-01,massacre,HZB,0
712,2012-11-01,shelling,HZB,0
713,2012-11-01,battle,HZB,0
714,2012-11-01,chemical,ASS,0
715,2012-11-01,air_strike,ASS,8
716,2012-11-01,barrel_bomb,ASS,0
717,2012-11-01,massacre,ASS,35
718,2012-11-01,shelling,ASS,52
719,2012-11-01,battle,ASS,21
720,2012-12-01,chemical,IS,0
721,2012-12-01,air_strike,IS,0
722,2012-12-01,barrel_bomb,IS,0
723,2012-12-01,massacre,IS,0
724,2012-12-01,shelling,IS,0
725,2012-12-01,battle,IS,0
726,2012-12-01,chemical,IC,0
727,2012-12-01,air_strike,IC,0
